!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
伐10	0403	0070	(伐)	0070	(伐)	阿差末菩薩經	西晉 竺法護譯	7
服03	0313	0025	(服)	0025	(服)	阿閦佛國經	後漢 支婁迦讖譯	2
藁09	0921	1412	(槀)	1413	(槁)	阿閦如來念誦供養法	唐 不空譯	1
既10	1508	1331	(既)	1332	(既)	阿含口解十二因緣經	後漢 安玄共嚴佛調譯	1
敬06	0151	0682	(敬)	0683	(敬)	佛說阿含正行經	後漢 安世高譯	1
敬09	0529	0699	(敬)	0700	(敬)	佛說阿鳩留經	失譯	1
流05	1039	1015	(流)	1016	(流)	阿唎多羅陀羅尼阿嚕力經	唐 不空譯	1
臨09	0126	0891	(臨)	0892	(臨)	佛說阿羅漢具德經	宋 法賢譯	1
	0370	0480	(行)	0481	(行)	阿彌陀鼓音聲王陀羅尼經	失譯	1
	0373	0197	(貞)	0198	(貞)	後出阿彌陀佛偈	失譯	1
	0362	0023	(乃)	0023	(乃)	佛說阿彌陀三耶三佛薩樓佛檀過度人道經	吳 支謙譯	2
貞02	0366	0195	(貞)	0196	(貞)	佛說阿彌陀經	姚秦 鳩摩羅什譯	1
百07	1759	1595	(百)	1527	(曲)	阿彌陀經疏	新羅 元曉述	1
慶09	0140	0644	(慶)	0645	(慶)	阿那邠邸化七子經	後漢 安世高譯	1
緣04	0046	0558	(緣)	0559	(緣)	阿那律八念經	後漢 支曜譯	1
慶01	0495	0632	(慶)	0633	(慶)	佛說阿難分別經	乞伏秦 釋法堅譯	1
孝08	0494	0713	(孝)	0714	(孝)	阿難七夢經	東晉 竺曇無蘭譯	1
敬07	0493	0691	(敬)	0692	(敬)	佛說阿難四事經	吳 支謙譯	1
善10	0149	0628	(善)	0629	(善)	佛說阿難同學經	後漢 安世高譯	1
	1013	0353	(莫)	0354	(莫)	阿難陀目佉尼呵離陀經	劉宋 求那跋陀羅譯	1
	1015	0352	(莫)	0353	(莫)	佛說阿難陀目佉尼呵離陀[阿-可+(嶙-山)]尼經	元魏 佛馱扇多譯	1
慶01	0492b	0630	(慶)	0631	(慶)	阿難問事佛吉凶經	後漢 安世高譯	1
	0058	0563	(緣)	0564	(緣)	阿耨風經	東晉 竺曇無蘭譯	1
縻10	1545	1255	(心-縻)	1256	(心-縻)	阿毘達磨大毘婆沙論	五百大阿羅漢等造　唐 玄奘譯	200
啟10	1544	1267	(傍啟)	1268	(傍啟)	阿毘達磨發智論	迦多衍尼子造　唐 玄奘譯	20
陛10	1537	1288	(陛)	1289	(陛)	阿毘達磨法蘊足論	尊者大目乾連造　唐 玄奘譯	12
楹10	1553	1270	(楹)	1271	(楹)	阿毘曇甘露味論	尊者瞿沙造　失譯	2
退07	1605	1191	(退)	1192	(退)	大乘阿毘達磨集論	無著菩薩造　唐 玄奘譯	7
帳10	1536	1268	(甲帳)	1269	(甲帳)	阿毘達磨集異門足論	尊者舍利子說　唐 玄奘譯	20
席08	1540	1274	(席)	1275	(席)	阿毘達磨界身足論	尊者世友造　唐 玄奘譯	3
飛10	1558	1259	(樓觀飛)	1260	(樓觀飛)	阿毘達磨俱舍論	尊者世親造　唐 玄奘譯	30
畫04	1560	1262	(畫)	1263	(畫)	阿毘達磨俱舍論本頌	世親菩薩造　唐 玄奘譯	1
畫02	1559	1261	(禽獸畫)	1262	(禽獸畫)	阿毘達磨俱舍釋論	婆藪盤豆造　陳 真諦譯	22
楹08	1542	1269	(對楹)	1270	(對楹)	阿毘達磨品類足論	尊者世友造　唐 玄奘譯	18
席06	1539	1273	(設席)	1274	(設席)	阿毘達磨識身足論	提婆設摩造　唐 玄奘譯	16
涇10	1562	1257	(背-涇)	1258	(背-涇)	阿毘達磨順正理論	尊者眾賢造　唐 玄奘譯	80
箴06	1606	1171	(磨箴)	1172	(磨箴)	大乘阿毘達磨雜集論	安慧菩薩糅　唐 玄奘譯	16
鬱10	1563	1258	(宮-鬱)	1259	(宮-鬱)	阿毘達磨藏顯宗論	尊者眾賢造　唐 玄奘譯	40
靈10	1543	1265	(彩仙靈)	1266	(彩仙靈)	阿毘曇八犍度論	迦栴延子造　符秦 僧伽提婆共竺佛念譯	30
京10	1546	1256	(都-京)	1257	(都-京)	阿毘曇毘婆沙論	迦旃延子造　五百羅漢釋　北涼 浮陀跋摩共道泰等譯	60
墳07	1557	1338	(墳)	1339	(墳)	阿毘曇五法行經	後漢 安世高譯	1
瑟10	1550	1280	(瑟)	1281	(瑟)	阿毘曇心論	尊者法勝造　晉 僧迦提婆共慧遠等譯	4
慶02	0141	0637	(慶)	0638	(慶)	佛說阿遫達經	劉宋 求那跋陀羅譯	1
蓋10	0266	0146	(蓋)	0146	(蓋)	佛說阿惟越致遮經	西晉 竺法護譯	3
墳06	2043	1335	(墳)	1336	(墳)	阿育王經	梁 僧伽婆羅譯	10
	2044	1336	(墳)	1337	(墳)	天尊說阿育王譬喻經	失譯	1
	2045	1359	(群)	1360	(群)	阿育王息壞目因緣經	符秦 曇摩難提譯	1
漆06	2042	1451	(漆)	1452	(漆)	阿育王傳	西晉 安法欽譯	7
	1237	0469	(行)	0470	(行)	阿吒婆拘鬼神大將上佛陀羅尼神咒經	失譯	1
惟06	0626	0169	(帷)	0170	(帷)	佛說阿闍世王經	後漢 支婁迦讖譯	2
	0337	0039	(衣)	0039	(衣)	佛說阿闍貰王女阿術達菩薩經	西晉 竺法護譯	1
	0509	0267	(良)	0268	(良)	阿闍世王授決經	西晉 法炬譯	1
敬10	0508	0708	(敬)	0709	(敬)	阿闍世王問五逆經	西晉 法炬譯	1
	1394	0473	(行)	0474	(行)	佛說安宅神咒經	失譯	1
信02	0429	0405	(信)	0406	(信)	佛說八部佛名經	元魏 瞿曇般若流支譯	1
	1684	1065	(言)	1066	(言)	八大靈塔梵讚	西天戒日王製　宋 法賢譯	1
臨09	1685	0892	(臨)	0893	(臨)	佛說八大靈塔名號經	宋 法賢譯	1
	1168A	0874	(臨)	0875	(臨)	佛說大乘八大曼拏羅經	宋 法賢譯	1
斯07	0490	0991	(斯)	0992	(斯)	佛說八大菩薩經	宋 法賢譯	1
斯01	1167	0975	(斯)	0976	(斯)	八大菩薩曼荼羅經	唐 不空譯	1
維02	0779	0507	(維)	0508	(維)	佛說八大人覺經	後漢 安世高譯	1
知03	0431	0297	(知)	0298	(知)	八佛名號經	隋 闍那崛多譯	1
敬09	0089	0696	(敬)	0697	(敬)	八關齋經	劉宋 沮渠京聲譯	1
知03	0430	0296	(知)	0297	(知)	八吉祥經	梁 僧伽婆羅譯	1
