!起始函號	!大正藏	!永樂北	!永樂北函	!乾隆	!乾隆函	!經名	!作譯者	!卷數
	0403	0070	(伐)	0070	(伐)	阿差末菩薩經	西晉 竺法護譯	7
	0313	0025	(服)	0025	(服)	阿閦佛國經	後漢 支婁迦讖譯	2
	0921	1412	(槀)	1413	(槁)	阿閦如來念誦供養法	唐 不空譯	1
	1508	1331	(既)	1332	(既)	阿含口解十二因緣經	後漢 安玄共嚴佛調譯	1
	0151	0682	(敬)	0683	(敬)	佛說阿含正行經	後漢 安世高譯	1
						阿迦陀密一印千類千轉三使者成就經法	唐 不空譯	1
	0529	0699	(敬)	0700	(敬)	佛說阿鳩留經	失譯	1
	1039	1015	(流)	1016	(流)	阿唎多羅陀羅尼阿嚕力經	唐 不空譯	1
	0126	0891	(臨)	0892	(臨)	佛說阿羅漢具德經	宋 法賢譯	1
						佛說阿彌陀佛根本秘密神咒經	曹魏 菩提流支譯	1
	0369					阿彌陀佛說咒		1
	0370	0480	(行)	0481	(行)	阿彌陀鼓音聲王陀羅尼經	失譯	1
	0373	0197	(貞)	0198	(貞)	後出阿彌陀佛偈	失譯	1
	0362	0023	(乃)	0023	(乃)	佛說阿彌陀三耶三佛薩樓佛檀過度人道經	吳 支謙譯	2
	0366	0195	(貞)	0196	(貞)	佛說阿彌陀經	姚秦 鳩摩羅什譯	1
						阿彌陀經句解	元 性澄句解	1
						阿彌陀經略解	明 大佑述	1
						阿彌陀經略解圓中鈔	明 大佑述　傳燈鈔	2
						阿彌陀經略註	清 續法錄註	1
	1759	1595	(百)	1527	(曲)	阿彌陀經疏	新羅 元曉述	1
	1757					阿彌陀經疏	唐 窺基撰	1
				1632	(貢)	阿彌陀經疏鈔	明 袾宏述	4
						阿彌陀經疏鈔事義	明 袾宏述	1
						阿彌陀經疏鈔問辯	明 袾宏述	1
						阿彌陀經疏鈔擷	明 袾宏疏鈔　清 徐槐廷擷	1
						阿彌陀經疏鈔演義	明 古德法師演義　慈航智願定本	4
	1758					阿彌陀經通[(夫*夫)/貝]疏	唐 窺基撰	3
	1762					阿彌陀經要解	明 智旭解	1
						阿彌陀經要解便蒙鈔	明 智旭要解　清 達默造鈔　達林參訂	3
						阿彌陀經已決	明 大慧釋	1
						阿彌陀經異本(日本赤松連城跋)		1
	1755					阿彌陀經義記	隋 智顗說	1
	1760					阿彌陀經疏	宋 智圓述	1
	1761					阿彌陀經義疏	宋 元照述	1
	1756					阿彌陀經義述	唐 慧淨述	1
						阿彌陀經約論	清 彭際清述	1
						阿彌陀經摘要易解	清 真嵩述	1
						阿彌陀經直解正行	清 了根纂註	1
						阿彌陀經註	清 鄭澄德．鄭澄源 註	1
	0140	0644	(慶)	0645	(慶)	阿那邠邸化七子經	後漢 安世高譯	1
	0046	0558	(緣)	0559	(緣)	阿那律八念經	後漢 支曜譯	1
